"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"163","RWA","2020-11-22","11","21","2020","326","2020-11-22","34","0","Rwanda","12626938","Africa","3.223","5620","46","3.85","42","0.095","Sub-Saharan Africa","0.207","51.505","","1.998","12.302","148723","212730","13.886","305520733.844","498.66","8.599","3.803","0","10.784","8.424","20.088","39.976","-3","50.071","0.272","0.528","1","0.84","-2.156","-0.738","0.069","0.615","1.032","0.12","","16.634","63.523","0","-0.752","","0","1664","1607","1298","1298","0.001","","0","","","","0","18.2","0.159","0.324","0.507","0.18","2.516","91","34.2","498.66","68.341","3.46","36","6.4","160","70.8","36","62.3","44","0.5","24.1","31.9","15","1","2.938","2.51","6.212","","","","","","","","","","","","","-29.4","","","","","","","","","","","18.6","75.633","","","","","","3.739","1.556","","","RWA","78","248","231","95"
"164","SAU","2020-11-22","11","21","2020","326","2020-11-22","221","16","Saudi Arabia","34268529","Asia","14.022","355034","5761","8.659","5641","0.021","Middle East & North Africa","0.323","66.567","","49.101","33.7","594563","522116","17.483","4247084538.918","15.677","47.28","32.295","23.101","","","","25.043","-10","50.35","0.736","0.749","0","0","-1.237","-1.997","1.762","0.465","-0.972","0.632","","","","0","-1.031","1","0","","","","2000","0","","0","2058","","","1","27.5","0.039","0.18","0.127","0.553","0.396","","49.3","15.677","74.874","3.469","74.4","256.8","270","94.4","77.1","100","2114","0.9","44.8","32.6","8","","3.314","3.517","2.752","","","","","","","","","","","","","-55.8","","","","","","","","","","","30.9","2.233","","","","","","170.95","5.147","","","SAU","68","258","91","235"
"165","SDN","2020-11-22","11","21","2020","326","2020-11-22","0","0","Sudan","42813237","Africa","3.707","15530","1185","7.078","1116","0.062","Sub-Saharan Africa","-1.62","22.594","","4.23","41.802","696028","800950","12.506","1135787164.049","","13.239","1.251","1.013","","","","40.509","-4","","0.796","0.611","4","0.633","0.337","0.299","-1.761","0.456","-0.856","0.733","","23.875","","0","0.769","2","0","","","763","763","0.001","","0","","","","0","19.2","0.075","","","","2.435","29.7","26.2","","64.881","3.696","7","28","80","61.3","45.8","34.6","58","0.5","14.3","37.3","21","","3.581","3.733","","","","","","","","","","","","","","","","","","","","","","","","","29.933","47.933","","","","","","28.348","3.379","","","SDN","95","231","109","217"
"166","SEN","2020-11-22","11","21","2020","326","2020-11-22","17","0","Senegal","16296362","Africa","1.055","15865","330","5.802","327","0.012","Sub-Saharan Africa","-0.268","57.936","","3.356","15.854","206231","283178","9.954","629312447.981","82.347","18.786","1.74","0","8.317","4.637","8.237","43.055","7","41.45","0.723","0.712","0","0","0.869","1.507","0.165","0.698","2.448","0.33","","30.184","","0","-0.383","2","0","","","871","871","0.001","","0","","","1","0","18.1","0.593","0.694","0.15","0.727","2.786","20.1","37.9","82.347","67.38","2.912","35.1","6.8","30","51.9","31.1","48.4","49","0.5","18.5","45.4","10","1","3.087","2.763","4.411","","","","","","","","","","","","","-34.6","","","","","","","","","","","28.6","160.267","","","","","","20.814","3.083","","","SEN","73","253","125","201"
"167","SGP","2020-11-22","11","21","2020","326","2020-11-22","5","0","Singapore","5804343","Asia","1.619","58148","28","3.367","28","0","East Asia & Pacific","2.231","326.195","","90.091","5.639","303657","342722","17.514","82039577168.064","7952.998","100","45.392","0","","","","12.278","-2","38.962","0.426","0.662","0","0","-1.421","-0.204","2.261","0.778","2.838","0.009","","38.516","79.057","0","-0.997","2","0","","1281","184","184","0.005","","0","","238","","1","38.1","0.333","0.386","0.656","0.388","3.474","100","58.7","7952.998","82.895","3.935","64.5","227.6","240","97","90.6","100","2227","0.9","41.4","64.6","3","0","11.463","1.73","8.981","","","","","","","","","","","","","-59","","","","","","","","","","","27.467","175.133","","","","","","4.966","1.786","","","SGP","29","297","105","221"
"168","SLB","2020-11-22","11","21","2020","326","2020-11-22","0","0","Solomon Islands","669821","Oceania","0.448","16","0","0","0","","East Asia & Pacific","-1.054","","","2.15","0.653","11449","12045","12.966","12057230.761","23.325","","0.443","0","","","","40.242","8","42.7","0","0","0","0","1.001","1.482","-1.349","0.685","1.033","0.705","","","","0","","4","","","","1118","1118","0.001","","0","","","","0","19.7","0.421","0.111","0.671","","3.17","","20.7","23.325","72.645","3.478","8.7","19.1","140","83.3","32.4","31.3","82","0.5","12.4","18.7","9","0","3.599","-0.426","3.15","","","","","","","","","","","","","","","","","","","","","","","","25.467","213.267","","","","","","0","0","","","SLB","308","18","",""
"169","SLE","2020-11-22","11","21","2020","326","2020-11-22","6","0","Sierra Leone","7813207","Africa","0.307","2405","74","4.317","74","0","Sub-Saharan Africa","-1.143","56.696","29.4","1.421","7.65","97350","129601","","217812918.997","105.987","14.849","1.413","0","","","30.156","41.06","7","41.2","0.749","0.725","1","0.04","1.759","1.048","-0.847","0.623","0.695","0.725","","22.678","","0","-1.031","3","0","","","1091","1091","0.001","","0","","","14122","1","19.1","0.3","0.819","0.54","0.764","1.953","0","38.2","105.987","53.895","2.371","45.8","2.4","40","32.4","31","14.5","27","0.4","25.3","44.8","13","0","2.967","2.035","4.663","","","","","","","","","","","","","","","","","","","","","","","","25.633","412.2","","","","","","9.673","2.368","","","SLE","102","224","126","200"
"170","SLV","2020-11-22","11","21","2020","326","2020-11-22","0","5","El Salvador","6453550","America","32.618","37250","1075","6.981","1044","0.03","Latin America & Caribbean","-0.447","77.526","29.4","7.393","6.421","223747","308358","14.75","426819833.29","309.881","17.236","0.686","0","6.156","10.562","53.14","27.132","8","39.212","0.18","0.36","1","0.1","1.218","0.348","-1.292","0.77","-0.787","0.623","","12.665","10.436","0","-0.375","4","2","","1424","358","358","0.003","","0","","","","0","24.1","0.512","0.198","0.356","0.198","2.493","21.6","44.2","309.881","72.872","3.49","73.9","159.6","130","88.5","63.2","91.1","387","0.7","25.2","42.1","4","1","8.287","1.86","5.736","","","","","","","","","","","","","-74.6","","","","","","","","","","","24.833","249.733","","","","","","167.426","5.126","","","SLV","85","241","121","205"
"171","SMR","2020-11-22","11","21","2020","326","2020-11-22","0","0","San Marino","34453","Europe","1021.682","1395","43","3.784","42","0.024","Europe & Central Asia","","","","","0.034","","","","","563.083","","14.842","","","31.231","","","","","","","","","","","","","","","","","","0","","","","","","","2000","0","","0","","","","0","","","0.293","0.198","","","","31.1","563.083","","","33.9","636.3","380","99.9","90.69","100","3081","","16.2","20.8","","","","-3.388","6.333","","","","","","","","","","","","","","","","","","","","","","","","19.6","63.5","","","","","","1272.754","7.15","","","SMR","63","263","77","249"
"172","SOM","2020-11-22","11","21","2020","326","2020-11-22","0","0","Somalia","15442906","Africa","0.991","4382","108","4.691","107","0.009","Sub-Saharan Africa","-2.191","125.528","","","15.008","207274","223956","8.409","409000000","23.923","13.87","0.234","0","","","","46.577","5","","0","0","0","0","0.382","-0.428","-2.156","0.355","-0.776","0.808","","","","0","","1","0","234","699","234","234","0.004","","0","","","","0","16.3","0.109","0.812","0.003","0.812","1.557","","16.6","23.923","56.709","3.401","21.5","2.9","90","52.5","19","16.2","","","0.3","17.4","20","","2.873","2.709","3.175","","","","","","","","","","","","","","","","","","","","","","","","27.667","24.233","","","","","","7.196","2.104","","","SOM","100","226","113","213"
"173","SRB","2020-11-22","11","21","2020","326","2020-11-22","5774","28","Serbia","6963764","Europe","796.839","116125","1168","7.064","989","0.173","Europe & Central Asia","0.112","110.068","","16.049","6.983","551774","729238","14.632","4107322500.204","79.832","19.899","9.123","0.1","52.096","35.538","13.404","15.69","8","33.675","0.29","0.486","5","0.079","-0.302","-0.369","0.888","0.863","1.027","0.629","24.83","13.753","","1","","","","","752","46","46","0.022","","1","","","","0","38.7","0.329","","","","2.328","92.1","52.3","79.832","76.088","2.809","46.2","246.3","570","98.8","77.2","94.6","767","0.8","56.6","55.1","3","","18.346","1.943","4.38","","","","","","","","","","","","","-21.8","","","","","","","","","","","18.9","26.167","","","","","","167.273","5.126","","","SRB","71","255","88","238"
"174","SSD","2020-11-22","11","21","2020","326","2020-11-22","31","1","South Sudan","11062114","Africa","0.832","3047","60","4.111","59","0","Sub-Saharan Africa","-2.449","","","","10.976","172079","200936","","60140000","","","6.679","","","","","41.82","0","","0.77","0.621","7","0.266","-2.446","-1.443","-2.918","0.12","-2.363","0.96","","","","0","","1","0","","","","2000","0","","0","","","","0","18.6","0.053","","","","0.715","","21.7","","57.365","3.421","15.9","1.5","76","26.8","26.8","10.4","28","0.4","13.6","24.3","22","1","3.398","2.396","","","","","","","","","","","","","","","","","","","","","","","","","26.433","137.633","","","","","","5.467","1.867","","","SSD","119","207","150","176"
"175","STP","2020-11-22","11","21","2020","326","2020-11-22","5","0","São Tomé & Príncipe","215048","Africa","7.905","979","17","2.89","16","0.062","Sub-Saharan Africa","-0.639","","","3.033","0.211","2665","3508","","23681668.891","219.821","","1.258","0","","","","42.52","","","","","","","0.775","1.875","0.179","0.777","1.493","0.291","","","","0","","","","","493","940","493","0.002","","0","","","","0","19.2","0.611","","0.187","","2.329","2.1","17.7","219.821","69.933","2.935","2.7","54.1","290","90.1","39.3","40.1","79","0.6","7.2","18.7","","","2.925","-1.556","5.393","","","","","","","","","","","","","","","","","","","","","","","","23.567","177.933","","","","","","80.558","4.401","","","STP","119","207","146","180"
"176","SUR","2020-11-22","11","21","2020","326","2020-11-22","6","0","Suriname","581363","America","10.493","5295","116","4.762","114","0.018","Latin America & Caribbean","-0.655","","","13.763","0.576","16749","23030","12.515","130960766.326","3.692","","8.626","5.236","","","","27.17","5","","0.772","0.679","3","0.27","1.192","1.54","0.658","0.75","0.522","0.539","","","","0","","2","0","","","75","75","0.013","","0","","","","0","28.5","0.645","0.733","0.791","","3.147","","36.5","3.692","71.463","3.366","36.7","81.7","310","92.9","54.5","79.2","630","0.7","16.5","47.3","5","1","6.906","-0.552","1.306","","","","","","","","","","","","","","","","","","","","","","","","26.9","77.533","","","","","","201.392","5.31","","","SUR","91","235","176","150"
"177","SVK","2020-11-22","11","21","2020","326","2020-11-22","1861","30","Slovakia","5450421","Europe","396.116","95257","644","6.469","510","0.251","Europe & Central Asia","0.707","190.155","","31.226","5.447","334878","516386","","2551913226.952","113.291","","3.265","0.027","","39.205","","15.446","10","24.843","0.332","0.572","0","0","2.048","0.881","1.075","0.891","1.009","0.257","4.13","","","0","0.62","2","1","","1466","1450","1450","0.001","7.282","0","","","","0","38.2","0.749","0.254","0.565","0.332","3.554","94.8","47.9","113.291","77.166","2.829","46","345","580","99.9","83.3","98.9","1734","0.9","37.9","34.1","1","1","15.629","1.695","4.73","","","","","","","","","","","","","-9.8","","","","","","","","","","","14.933","60.567","","","","","","118.235","4.781","","","SVK","71","255","109","217"
"178","SVN","2020-11-22","11","21","2020","326","2020-11-22","1704","13","Slovenia","2080908","Europe","961.744","64284","657","6.489","500","0.339","Europe & Central Asia","1.126","162.477","","32.728","2.074","172939","233689","13.906","1523856931.759","102.64","","11.413","0","","38.549","","15.022","10","24.988","0.283","0.557","3","0.005","0.782","0.684","1.203","0.879","1.644","0.115","","19.981","7.981","0","","5","","994","955","841","841","0.001","5.951","0","","","","0","42.4","0.812","0.222","0.287","0.231","3.284","100","67.2","102.64","81.176","2.774","73.7","282","460","99.7","90.8","99.1","2004","0.9","54.9","63.3","0","1","19.607","0.729","4.631","","","","","","","","","","","","","-17.2","","","","","","","","","","","17","110.733","","","","","","316.795","5.761","","","SVN","67","259","89","237"
"179","SWE","2020-11-22","11","21","2020","326","2020-11-22","0","0","Sweden","10230185","Europe","577.311","208295","6406","8.765","6307","0.019","Europe & Central Asia","1.831","89.075","","47.718","10.175","947970","1096801","","9022400100.072","25.001","15.545","16.768","0","","9.219","","17.582","10","25.625","0","0","0","0","2.602","2.749","2.158","0.892","3.512","0.031","32.822","63.758","63.882","0","0.209","4","2","","","914","914","0.001","3.436","0","","5","","0","41","0.875","0.06","0.234","0.189","3.865","100","72.1","25.001","82.307","4.489","86","418.8","260","99.9","95.5","99.3","4498","0.9","49.3","62.8","0","1","20.096","2.32","3.219","","","","","","","","","","","","","3.6","","","","","","","","","","","9.333","64.533","","","","","","629.569","6.447","","","SWE","60","266","72","254"
"180","SWZ","2020-11-22","11","21","2020","326","2020-11-22","20","0","Eswatini","1148133","Africa","18.813","6205","119","4.787","119","0.008","Sub-Saharan Africa","-0.66","84.413","","9.439","1.136","16399","29196","","31264218.272","66.058","","2.454","0","","","","38.112","-9","","0","0","0","0","-0.91","-0.451","-0.823","0.119","0.029","0.899","","8.511","","0","-0.875","1","0","","","1298","1298","0.001","","0","","","","0","20.1","0.102","0.058","0.444","0.28","2.815","6.2","31.1","66.058","58.319","3.267","25.5","14.7","210","83.1","40.5","58","460","0.6","6.5","29.3","7","0","4.013","0.128","4.191","","","","","","","","","","","","","","","","","","","","","","","","21.267","24.8","","","","","","104.736","4.661","","","SWZ","97","229","180","146"
"181","SXM","2020-11-22","11","21","2020","326","2020-11-22","13","0","Sint Maarten","42389","America","259.501","996","25","3.258","24","0.042","Latin America & Caribbean","","","","","0.041","","","","-196625698.324","","","70.448","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","-3.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614.946","6.423","","","SXM","92","234","110","216"
"182","SYC","2020-11-22","11","21","2020","326","2020-11-22","0","0","Seychelles","97741","Africa","5.116","163","0","0","0","","Sub-Saharan Africa","0.502","189.117","","27.114","0.097","3139","4209","13.028","43933526.568","210.352","","13.259","0","","0.001","","23.635","","40.775","","","","","0.446","1.573","1.825","0.51","2.113","0.212","","","","0","","","","","267","583","267","0.004","","0","","","","0","32.6","0.425","0.202","0.232","","2.012","","31.9","210.352","74.3","3.312","33.4","98.4","360","94","65.6","100","1077","0.8","19.9","20.7","","","7.594","-2.336","5.349","","","","","","","","","","","","","","","","","","","","","","","","27.333","125.167","","","","","","0","0","","","SYC","90","236","",""
"183","SYR","2020-11-22","11","21","2020","326","2020-11-22","75","4","Syria","17070132","Asia","5.899","7154","372","5.922","341","0.092","Middle East & North Africa","-1.671","","","","16.906","350534","410784","9.792","","92.067","31.754","4.73","","","","","31.422","-9","","0.543","0.714","4","0.86","-2.271","-1.552","-2.066","0.371","-1.569","0.828","","","","0","","2","0","","449","33","33","0.03","","0","","","","0","22.4","0.037","0.54","0.431","0.581","0.26","90","19.9","92.067","70.967","3.572","2.7","154.6","150","52.5","67.2","92.9","","0.5","24.4","23","14","0","4.503","2.828","4.523","","","","","","","","","","","","","","","","","","","","","","","","26.3","10.367","","","","","","22.004","3.136","","","SYR","90","236","185","141"
"184","TCA","2020-11-22","11","21","2020","326","2020-11-22","0","0","Turks & Caicos Islands","38194","America","86.401","740","6","1.946","6","0","Latin America & Caribbean","","","","22.512","0.038","","","","42227000","39.647","","34.037","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","","","39.647","","","","","","","","","","","","","","","","-3.279","3.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.299","5.077","","","TCA","104","222","",""
"185","TCD","2020-11-22","11","21","2020","326","2020-11-22","7","0","Chad","15946882","Africa","0.564","1633","101","4.625","100","0.01","Sub-Saharan Africa","-1.529","73.876","","1.746","15.478","175225","208703","","662206573.433","12.292","8.546","3.683","15.25","2.478","","0.572","47.126","-2","42.65","0.629","0.788","1","0.04","0.261","-0.827","-1.638","0.616","-1.213","0.939","","","","0","-0.997","2","0","","395","","395","0.003","","0","","","","0","15.8","0.105","0.862","0.641","0.772","1.277","","28.8","12.292","53.712","3.286","36.5","4.4","40","22.3","25.4","9.5","18","0.4","6.6","34.5","19","1","2.481","2.739","2.509","","","","","","","","","","","","","","","","","","","","","","","","28.633","55.367","","","","","","6.525","2.018","","","TCD","99","227","123","203"
"186","TGO","2020-11-22","11","21","2020","326","2020-11-22","33","0","Togo","8082359","Africa","4.281","2829","64","4.174","61","0.067","Sub-Saharan Africa","-1.058","73.606","","1.574","7.889","103651","122727","13.247","101981197.487","145.047","22.129","3.79","0","3.01","","","41.335","-2","43.817","0.649","0.885","1","0.44","0.557","1.266","-0.673","0.784","-0.892","0.742","","17.821","","0","0.62","2","0","","45","1379","45","0.022","","0","","","","0","18.9","0.267","0.71","0.66","0.883","2.099","4","32.5","145.047","60.489","3.086","46.8","5.3","70","63.7","32","13.9","20","0.5","10","30.4","13","1","2.87","2.065","4.977","","","","","","","","","","","","","-16.6","","","","","","","","","","","26.467","205.433","","","","","","8.112","2.21","","","TGO","81","245","129","197"
"187","THA","2020-11-22","11","21","2020","326","2020-11-22","11","0","Thailand","69625581","Asia","0.109","3913","60","4.111","60","0","East Asia & Pacific","0.35","123.307","28.1","16.905","69.429","3610237","4652417","18.147","13398678283.512","135.897","20.055","5.758","0.561","40.723","5.087","59.319","17.087","-3","40.275","0.319","0.552","2","0.015","0.329","0.014","0.436","0.655","-1.824","0.719","","32.574","53.853","0","-0.441","1","0","","","1115","1115","0.001","","0","3","9","","0","36.9","0.091","0.634","0.099","0.431","2.931","98","73.2","135.897","76.683","2.538","81","47","210","92.9","69.5","95","496","0.8","70.5","78.6","8","0","11.901","4.24","4.912","","","","","","","","","","","","","-29","","","","","","","","","","","27.233","198.767","","","","","","0.864","0.623","","","THA","27","299","90","236"
"188","TJK","2020-11-22","11","21","2020","326","2020-11-22","39","0","Tajikistan","9321023","Asia","6.416","11854","86","4.466","85","0.012","Europe & Central Asia","-1.098","","","3.061","9.101","128590","146426","13.107","220862232.338","65.573","","3.243","0.065","34.149","","9.75","36.784","-3","43.767","0.31","0.539","4","0.157","-1.237","-1.334","-1.946","0.218","-0.842","0.887","","","","0","0.687","2","0","16","16","1846","16","0.062","","0","","","","0","21.7","0.05","0.511","0.339","0.513","1.67","0.3","32.3","65.573","70.647","1.606","24.1","171.4","480","99.8","51.7","95.5","60","0.7","20.5","42.9","11","0","3.022","2.208","4.183","","","","","","","","","","","","","-40.4","","","","","","","","","","","9.467","11.567","","","","","","9.45","2.347","","","TJK","121","205","128","198"
"189","TLS","2020-11-22","11","21","2020","326","2020-11-22","0","0","Timor-Leste","1293120","Asia","0","30","0","0","0","","East Asia & Pacific","-0.983","","","6.796","1.268","25444","29292","","47925664.571","85.27","","0.914","14.53","1.241","","35.209","37.781","8","33.08","0","0","0","0","0.918","0.98","-0.841","0.594","0.761","0.479","","","","0","-0.997","3","","","739","1221","739","0.001","","0","","","","0","16.6","0.466","","","","2.111","","26","85.27","69.007","3.483","25.7","7.8","590","58.3","43.4","44","68","0.6","9.7","30.2","7","1","4.317","0.237","4.446","","","","","","","","","","","","","","","","","","","","","","","","25.233","18.533","","","","","","0","0","","","TLS","107","219","",""
"190","TTO","2020-11-22","11","21","2020","326","2020-11-22","63","2","Trinidad & Tobago","1394969","America","34.839","6324","115","4.754","112","0.018","Latin America & Caribbean","0.19","","","28.407","1.39","66754","82442","14.742","-602524631.737","270.927","","3.668","3.166","","6.998","","20.42","10","","0.665","0.889","0","0","1.202","1.169","1.811","0.85","1.588","0.141","","3.203","36.698","0","","3","0","","","234","234","0.004","","0","","","","0","33.3","0.629","0.648","0.794","0.647","2.9","","36.6","270.927","73.245","3.29","14.7","182.1","300","98.7","64.3","92.1","1151","0.8","23.7","43.2","3","0","10.735","0.329","5.602","","","","","","","","","","","","","-48.8","","","","","","","","","","","26.667","271.367","","","","","","82.742","4.428","","","TTO","81","245","228","98"
"191","TUN","2020-11-22","11","21","2020","326","2020-11-22","1206","68","Tunisia","11694721","Africa","153.3","87471","2752","7.92","2279","0.215","Middle East & North Africa","-0.105","110.957","","11.094","11.565","432113","529652","15.268","988942901.04","74.441","19.807","0.504","1.547","","25.461","14.426","24.17","7","39.05","0.039","0.078","0","0","2.344","1.532","-0.052","0.892","1.652","0.389","","15.519","19.317","0","0.37","","0","","1718","1670","1670","0.001","","0","3","","","0","30.3","0.648","0.039","0.01","0.039","3.06","80","33.7","74.441","76.31","3.459","26.3","128.9","230","79","69.4","93.1","457","0.7","24","39.1","4","1","8.316","2.448","4.31","","","","","","","","","","","","","","","","","","","","","","","","25.633","43.8","","","","","","237.955","5.476","","","TUN","72","254","92","234"
"192","TUR","2020-11-22","11","21","2020","326","2020-11-22","5532","135","Turkey","82003882","Europe","59.834","440805","12219","9.411","11418","0.067","Europe & Central Asia","0.006","60.157","32.6","25.358","82.32","2970028","4013183","18.566","13061000000","106.96","36.855","3.769","0.056","36.06","24.7","17.96","24.649","-4","40.144","0.401","0.684","0","0","-0.707","-1.165","0.17","0.392","-1.232","0.721","20.538","12.008","57.928","1","-0.202","2","0","","1200","1200","1200","0.001","6.987","0","1","","","0","29.4","0.225","0.32","0.005","0.299","1.079","86","52.4","106.96","77.161","4.02","45.6","174.9","270","96.2","74.4","96.4","854","0.8","45.7","49","9","1","8.483","4.411","4.672","","","","","","","","","","","","","-33","","","","","","","","","","","19.4","32.133","","","","","","148.433","5.007","","","TUR","75","251","81","245"
"193","TZA","2020-11-22","11","21","2020","326","2020-11-22","0","0","Tanzania","58005461","Africa","0","509","21","3.091","21","0","Sub-Saharan Africa","-0.756","","","2.875","56.318","616152","848867","14.209","1055991268.202","63.579","12.52","0.489","0","1.293","","10.935","44.098","3","43.883","0.506","0.913","3","0.036","0.377","-0.189","0.185","0.584","1.161","0.172","","11.474","","0","","3","0","","","228","228","0.004","","0","","","","0","17.5","0.391","0.735","0.633","0.953","2.637","13","36.4","63.579","64.479","3.702","42","2.2","70","77.9","33.9","23.5","45","0.5","8.2","36.8","10","0","2.601","4.031","4.152","","","","","","","","","","","","","-16.4","","","","","","","","","","","22.867","24.2","","","","","","0.373","0.317","","","TZA","82","244","113","213"
"194","UGA","2020-11-22","11","21","2020","326","2020-11-22","236","0","Uganda","44269587","Africa","8.134","17667","168","5.13","144","0.167","Sub-Saharan Africa","-0.606","48.199","","1.808","42.723","329441","499827","9.978","1337128157.979","213.062","6.99","1.92","0","0.881","","60.472","46.931","-1","43.986","0.845","0.496","2","0.18","1.028","0.99","-1.378","0.529","0.087","0.733","","15.528","","0","","3","0","","","344","344","0.003","","0","","","","0","15.8","0.292","0.93","0.633","0.93","3.002","2","44.3","213.062","62.516","4.246","50.3","9.3","50","70.2","31.4","19.2","19","0.5","11.6","56.5","14","0","1.941","3.755","5.362","","","","","","","","","","","","","-51.2","","","","","","","","","","","22.967","115.367","","","","","","3.932","1.596","","","UGA","85","241","226","100"
"195","UKR","2020-11-22","11","21","2020","326","2020-11-22","0","0","Ukraine","43993643","Europe","367.624","612665","10813","9.289","9508","0.161","Europe & Central Asia","-0.415","99.019","22","8.207","44.623","2455746","4877703","15.877","2476000000","77.03","12.11","10.786","0.244","51.422","20.229","36.628","15.812","4","26.986","0.327","0.584","3","0.012","1.559","0.019","0.531","0.856","-0.63","0.463","","23.713","24.867","0","","3","","","1481","1593","1481","0.001","","0","","","","0","39.7","0.235","0.474","0.616","0.419","1.649","100","38","77.03","71.781","3.266","36.5","300","880","100","74.6","95.9","227","0.8","23","34.8","9","1","16.434","3.798","4.344","","","","","","","","","","","","","","","","","","","","","","","","17.033","28.367","","","","","","242.322","5.494","","","UKR","77","249","90","236"
"196","URY","2020-11-22","11","21","2020","326","2020-11-22","87","0","Uruguay","3461731","America","32.44","4564","69","4.248","64","0.078","Latin America & Caribbean","0.558","39.992","29.7","20.916","3.449","199081","311936","","1172779059.582","19.708","50.358","2.092","0","36.557","31.547","59.208","20.608","10","36.8","0.169","0.327","1","0.078","2.253","2.283","2.539","0.853","2.137","0.093","","20.873","39.355","0","-0.053","2","0","1691","1691","1691","1691","0.001","","0","","","","0","34.4","0.786","0.25","0.355","0.218","3.638","97.2","41.3","19.708","77.632","3.291","33.5","373.6","280","98.6","71","95.7","1404","0.8","24.1","41.3","2","1","14.815","1.238","2.981","","","","","","","","","","","","","-35.6","","","","","","","","","","","15.433","107.733","","","","","","20.004","3.045","","","URY","76","250","110","216"
"197","USA","2020-11-22","11","21","2020","326","2020-11-22","175494","1486","United States","329064917","America","677.216","12089438","255899","12.453","245600","0.041","North America","1.577","27.544","","55.719","326.688","23058935","28582660","20.606","258390000000","35.766","46.258","14.491","0.177","","37.925","","18.709","8","37.837","0.524","0.731","3","0.057","2.151","1.651","0.159","0.812","2.119","0.075","84.818","38.173","32.236","1","1.298","4","0","237","237","237","237","0.004","","0","2","27","4","0","37.4","0.822","0.49","0.824","0.491","3.725","84","83.5","35.766","78.539","4.133","98.2","256.8","290","99.9","88.7","100","8078","0.9","73.8","79.7","4","0","15.808","5.789","3.577","","","","","","","","","","","","","-19.4","","","","","","","","","","","16.267","81.267","","","","","","783.314","6.665","","","USA","33","293","64","262"
"198","UZB","2020-11-22","11","21","2020","326","2020-11-22","0","0","Uzbekistan","32981715","Asia","8.832","71280","603","6.404","594","0.015","Europe & Central Asia","-0.547","67.846","","7.592","32.955","632244","824084","14.933","624702706.364","77.469","7.477","3.917","0.859","","20.636","","28.686","-9","","0.349","0.554","3","0.13","-1.365","-1.474","0.596","0.639","0.147","0.72","","13.922","97.143","0","","1","0","1787","633","1756","633","0.002","","0","","","","0","25.3","0.038","0.413","0.213","0.485","0.345","100","34.3","77.469","71.388","1.955","19.4","245.1","400","100","62.9","100","192","0.7","16","27.8","11","0","4.419","3.495","4.35","","","","","","","","","","","","","","","","","","","","","","","","19.5","6.633","","","","","","18.297","2.96","","","UZB","77","249","124","202"
"199","VAT","2020-11-22","11","21","2020","326","2020-11-22","0","0","Vatican City","815","Europe","0","26","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","-1.281","-1.731","","0.159","-1.668","0.483","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VAT","120","206","",""
