"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"117","LUX","2020-11-22","11","21","2020","326","2020-11-22","519","6","Luxembourg","613894","Europe","1186.035","29762","260","5.565","219","0.204","Europe & Central Asia","1.778","387.103","","96.793","0.608","38912","47310","14.557","-5615033227.493","250.094","","43.964","0","","29.762","","15.879","10","28.688","0","0","0","0","2.133","1.82","2.542","0.882","2.778","0.059","","","","0","","5","1","","","1312","1312","0.001","4.334","0","","","","0","39","0.765","0.53","0.091","","3.811","97.6","43.8","250.094","82.685","4.307","41.7","292.1","480","99.9","96","97.6","5176","0.9","37.9","27.3","0","1","14.182","-0.498","5.522","","","","","","","","","","","","","-40.4","","","","","","","","","","","15.567","49.233","","","","","","427.667","6.061","","","LUX","72","254","87","239"
"118","LVA","2020-11-22","11","21","2020","326","2020-11-22","642","7","Latvia","1919968","Europe","253.338","12744","153","5.037","121","0.259","Europe & Central Asia","1.043","122.793","","26.219","1.927","126882","259395","15.216","446985589.698","30.983","","13.353","0","","28.784","","15.996","8","35.312","0.568","0.827","3","0.353","1.844","3.097","1.797","0.862","1.712","0.143","7.83","","","0","","5","","","1174","934","934","0.001","7.633","0","","","","0","41.5","0.746","0.587","0.556","0.585","3.693","70","62.9","30.983","74.68","3.062","97.3","320.9","580","99.9","80.7","92.9","868","0.8","47.3","54.7","0","1","20.044","0.656","3.433","","","","","","","","","","","","","-13","","","","","","","","","","","13.733","68.433","","","","","","79.391","4.387","","","LVA","71","255","113","213"
"119","MAR","2020-11-22","11","21","2020","326","2020-11-22","4702","74","Morocco","36471766","Africa","188.576","320962","5256","8.567","4697","0.119","Middle East & North Africa","-0.209","87.99","","7.641","36.029","1176787","1349886","15.911","3626012575.155","80.729","21.732","0.257","0.007","","","","27.206","-4","40.82","0.496","0.947","1","0.392","0.441","0.216","-0.158","0.649","0.299","0.648","","12.447","47.67","0","-0.997","1","0","599","","629","599","0.002","","0","","","","0","27","0.277","0.484","0.003","0.479","2.449","42.3","43.7","80.729","76.218","3.775","56.8","61.8","110","69.4","57.6","83.5","218","0.7","29.5","51.5","7","1","7.013","3.584","4.391","","","","","","","","","","","","","","","","","","","","","","","","23.067","35.933","","","","","","145.882","4.99","","","MAR","74","252","86","240"
"120","MCO","2020-11-22","11","21","2020","326","2020-11-22","4","0","Monaco","33085","Europe","296.207","581","2","1.099","1","1","Europe & Central Asia","","","","","0.039","","","5.759","","","","55.768","","","","","","","","","","","","","","","","","","","","","0","","","","","","1067","1067","0.001","","0","","","","0","","","0.684","0.305","","","","32.7","","","","23.3","664.5","1380","99.9","90.69","100","2402","","31","26","","","","-3.252","","","","","","","","","","","","","","","","","","","","","","","","","21.033","87.6","","","","","","51.704","3.965","","","MCO","79","247","",""
"121","MDA","2020-11-22","11","21","2020","326","2020-11-22","1306","19","Moldova","4043258","Europe","371.334","96689","2130","7.664","2006","0.062","Europe & Central Asia","-0.467","84.287","22","6.452","2.706","115730","194643","13.943","311870000","123.52","","3.512","0.014","43.898","31.946","23.792","15.86","9","34.475","0.416","0.634","3","0.172","1.154","1.256","0.155","0.861","0.692","0.606","","17.591","","0","","1","0","","233","1445","233","0.004","","0","","","","0","35.8","0.418","0.553","0.56","0.51","2.116","75.7","42.9","123.52","71.717","3.114","42.9","319.8","580","99.1","67.4","78.4","234","0.7","36.4","31.1","8","1","11.47","0.995","4.816","","","","","","","","","","","","","-37.8","","","","","","","","","","","18.2","20.5","","","","","","787.125","6.67","","","MDA","74","252","95","231"
"122","MDG","2020-11-22","11","21","2020","326","2020-11-22","77","1","Madagascar","26969306","Africa","0.36","17310","250","5.525","249","0","Sub-Saharan Africa","-1.153","62.502","","1.678","26.262","359165","425224","13.202","612036371.422","45.14","11.646","0.132","0.117","","5.022","","40.668","6","43.833","0.599","0.911","0","0","0.934","0.243","-2.306","0.869","-0.174","0.634","","27.357","","0","0.176","1","0","354","","1542","354","0.003","","0","","","","0","18.4","0.29","0.879","0.519","0.861","2.18","3.7","40.1","45.14","66.311","3.354","41.9","14.3","20","71.6","29.6","9.7","43","0.5","19.2","57.8","12","1","2.987","3.268","3.81","","","","","","","","","","","","","","","","","","","","","","","","22.333","28.233","","","","","","9.519","2.353","","","MDG","83","243","162","164"
"123","MDV","2020-11-22","11","21","2020","326","2020-11-22","32","0","Maldives","530957","Asia","116.017","12578","45","3.829","42","0.098","South Asia","-0.488","146.271","","13.583","0.516","10052","8995","13.953","538536564.514","1718.987","","25.872","0","","","","20.148","","40.8","0.02","0.04","0","0","1.061","0.797","-0.677","0.708","1.22","0.225","","","","0","","3","","","1291","1487","1291","0.001","","0","","","","0","25","0.169","","","","2.089","30","33.8","1718.987","78.325","3.487","25.5","361.1","430","98.6","70.4","95.9","1182","0.7","18.1","40.2","","0","3.693","-0.662","7.449","","","","","","","","","","","","","","","","","","","","","","","","27.9","195.967","","","","","","87.261","4.48","","","MDV","75","251","184","142"
"124","MEX","2020-11-22","11","21","2020","326","2020-11-22","6719","550","Mexico","127575529","America","55.457","1032688","101373","11.527","98259","0.033","Latin America & Caribbean","-0.153","80.448","36.4","18.134","126.191","4101778","5013893","17.983","37495592533","64.915","40.709","0.939","1.724","41.889","11.483","32.526","26.557","8","45.186","0.336","0.59","2","0.192","1.622","0.191","-0.805","0.872","-0.272","0.451","15.717","19.01","16.255","1","0.763","4","1","1603","1573","507","507","0.002","","0","","","","0","27","0.487","0.542","0.18","0.542","2.689","85.6","57.6","64.915","74.947","3.653","71.2","223.1","150","94.9","66.3","89.2","507","0.8","46.9","50.8","5","1","7.224","4.838","4.173","","","","","","","","","","","","","-48","","","","","","","","","","","24.4","130.633","","","","","","803.331","6.69","","","MEX","58","268","87","239"
"125","MHL","2020-11-22","11","21","2020","326","2020-11-22","0","0","Marshall Islands","58791","Oceania","5.103","4","0","0","0","","East Asia & Pacific","-1.554","125.728","","3.54","0.058","","","10.099","9752051.362","324.517","","6.197","","","","","","","","","","","","","","","","","","","","","0","","","","","","1349","1349","0.001","","1","","","","0","","","0.06","0.521","","","","18.2","324.517","","3.357","4.4","45.6","270","98.3","43","86.9","492","0.7","7.2","18.1","","","","-2.84","5.782","","","","","","","","","","","","","","","","","","","","","","","","28.567","259.5","","","","","","0","0","","","MHL","","","",""
"126","MKD","2020-11-22","11","21","2020","326","2020-11-22","1182","25","North Macedonia","2077132","Europe","714.88","53631","1487","7.305","1281","0.158","Europe & Central Asia","0.09","133.236","","13.483","2.083","126580","158161","","648732424.985","82.592","","6.29","0","","27.646","","16.517","9","33.871","0.522","0.791","5","0.097","0.602","0.716","1.167","0.718","0.91","0.512","5.81","","","0","-0.202","3","","","1502","32","32","0.031","","0","","","","0","37.1","0.298","0.502","0.59","0.535","1.961","94.9","39.1","82.592","75.589","2.855","41.7","287.5","440","97.8","75.1","90.9","594","0.8","25.4","33.1","2","1","13.67","0.734","4.414","","","","","","","","","","","","","-26.8","","","","","","","","","","","17.967","24.5","","","","","","713.889","6.572","","","MKD","73","253","92","234"
